Full Name	Gender	Place of Birth
Lodovico Settala	m	Milan
Lorenzo Bini	m	
Lorenzo Ceccarelli	m	
Lorenzo Giacomini	m	Ancona
Lorenzo Magalotti	m	Florence
Lorenzo Petrangeli	m	
Lorenzo Pignoria	m	Padua
Lorenzo Realio	m	Amsterdam
Lorenzo Usimbardi	m	Colle
Luca Degli Albizzi	m	
Luca Holste	m	Hamburg
Luca Valerio	m	
Luigi Alamanni	m	
Luigi Capponi	m	Florence
Luigi Maraffi	m	
Malatesta Baglioni	m	Perugia
Malatesta Porta	m	Rimini
Marc Antonio Bissaro	m	
Marcantonio Baldi	m	
Marcantonio Pieralli	m	San Miniato
Marco Lentowicz	m	[Poland]
Margherita Sarrocchi	f	
Maria Celeste Galilei	f	
Maria Cristina di Lorena	f	Nancy
Maria Felice Nerli	f	
Maria Maddalena of Austria	f	
Maria Tedaldi	f	
Marino Ghetaldi	m	Ragusa
Marino Marsili	m	
Marino Mersenne	m	Oizé
Mario Guiducci	m	Florence
Mark Welser	m	Augsburg
Martin Hasdale	m	[Germany]
Martin Horky	m	
Martino Ortensio	m	Delft
Martino Sandelli	m	Padua
Matteo Bartolini	m	
Matteo Botti	m	
Matteo Caccini	m	Rome
Matteo Carosio	m	
Matthew Kellison	m	Harrowden (Northamptonshire)
Matthias Bernegger	m	Ilallstatt
Matthias Welser	m	
Mattia Naldi	m	Siena
Maximillian I	m	
Mazzeo Mazzei	m	Florence
Melchiorre Hurter	m	
Michelangelo Buonarroti	m	Florence
Michelangelo Galilei	m	
Michele Coignet	m	Antwerp
Michele Maestlin	m	
Michele Van Langren	m	Antwerp
Muzio Oddi	m	Urbino
Muzio Tedaldi	m	
Neri Ricasolo Baroni	m	
Niccolò Aggiunti	m	Borgo San Sepolcro
Niccolò Arrighetti	m	
Niccolò Ciampoli	m	
Niccolò Cini	m	
Niccolò Dolfin	m	Venice
Niccolo Giugni	m	Florence
Niccolò Herrera	m	
Niccolò Lorini	m	Florence
Niccolò Riccardi	m	Genoa
Niccolò Rittershaus	m	Altdorf
Niccolò Sacchetti	m	
Niccolò Stelliola	m	Nola
Niccòlo Tassi	m	
Nicholas Wickens	m	
Nicolas-Claude Fabri de Peiresc	m	Beaugensier
Odo van Maelcote	m	Brussels
Odoardo Farnese	m	Parma
Onofrio Castelli	m	Terni
Onorato Visconti	m	
Orazio Cavalcanti	m	Florence
Orazio del Monte	m	
Orazio Grassi	m	Savona
Orazio Morandi	m	Rome
Orazio Serafini	m	Modena
Orso d'Elci	m	Siena
Ortensia Guadagni Salviati	f	Florence
Ottaviano Castelli	m	Spoleto
Ottaviano Lotti	m	Florence
Ottavio Bandini	m	Florence
Ottavio Brenzoni	m	Verona
Ottavio Galilei	m	
Ottavio Pisani	m	
Pandolfo Sprani	m	
Paolo Airoldi	m	
Paolo Antonio Foscarini	m	Montalto Uffugo
Paolo Aproino	m	Treviso
Paolo Beni	m	Candia
Paolo Bombini	m	Cosenza
Paolo da Garresio	m	
Paolo delli Franci	m	
Paolo Egidio da Como	m	
Paolo Emilio Boiardi	m	Reggio
Paolo Giordano Orsini	m	Rome
Paolo Gualdo	m	Vicenza
Paolo Lattanzio da Ferrara	m	
Paolo Maria Cittadini	m	
Paolo Pozzobonelli	m	Savona
Paolo Sarpi	m	Venice
Paolo Sfondrati	m	
Paolo Stecchini	m	
Pedro Téllez-Girón	m	
Persio Falconcini	m	Volterra
Petronilla Bartolini	f	
Philip III	m	
Pier Battista Borghi	m	
Pier Francesco Rinuccini	m	
Pierfrancesco de’Ricci	m	Florence
Pierluigi Caraffa	m	
Piermatteo Giordani	m	
Piero Dini	m	
Piero Girolami	m	
Piero Guicciardini	m	Florence
Pietro	m	
Pietro Aldobrandini	m	Rome
Pietro Carcavy	m	Lyon
Pietro di Castro	m	Madrid
Pietro Duodo	m	Venice
Pietro Dupuy	m	Agen
Pietro Fermat	m	Beaumont-de-Lomagne (near Montauban)
Pietro Francesco Malaspina	m	Parma
Pietro Gassendi	m	Champtercier
Pietro Iacopo Failla	m	
Pietro la Sena	m	Naples
Pietro Mazzei	m	
Pietro Niccolini	m	Florence
Polissena Gatteschi Bocchineri	f	
Pope Urban VIII	m	Florence
Raffaello Alamanni	m	
Raffaello Aversa	m	Mercato Sanseverino
Raffaello di Bollogne	m	
Raffaello Gualterotti	m	Florence
Raffaello Magiotti	m	Montevarchi
Raffaello Staccoli	m	Urbino
Raffaello Visconti	m	
Ranuccio Scotti	m	
René de’ Medici	m	
René Descartes	m	The Hague
Riccardo White	m	Hutton (Essex)
Roberto Bellarmino	m	Montepulciano
Roberto Galilei	m	Florence
Roberto Giraldi	m	
Roberto Pandolfini	m	Florence
Roberto Strozzi	m	
Roberto Ubaldini	m	Florence
Santorre Santorio	m	Capodistria (Koper)
Scipione Borghese	m	
Scipione Chiaramonti	m	Cesena
Sebastiano Borsa	m	
Sebastiano Scalandroni	m	
Sebastiano Venier	m	Venice
Serafino Guidoni	m	
Sigismondo Coccapani	m	Florence
Sigismondo di Cologna	m	
Sigismondo Pellegri	m	
Silvestro Landini	m	
Silvio Piccolomini	m	
Simone Mayr	m	Gunzenhausen
Spinello Benci	m	Montepulciano
Tarquinio Galluzzi	m	Montebuono
Teofilo Mueller	m	Hirschfeld (Assia)
Tiberio Muti	m	Rome
Tiberio Sinbaldi	m	
Tiberio Spinola	m	
Tobia Adami	m	Werdau
Tobia Matthew	m	Salsbury
Tolomeo Nozzolini	m	
Tommaso Seggetti	m	[Scotland]
Tommaso Campanella	m	Stignano
Tommaso da Tabia	m	
Tommaso di Lavagna	m	
Tommaso Giannini	m	Ferrara
Tommaso Mermanni	m	
Tommaso Rinuccini	m	Rome
Tommaso Stigliani	m	Matera
Tycho Brache	m	Knutstorp Castle (Scania)
Ugo Grozio	m	Delft
Vicario del Sant’Uffizio	m	
Vincenzo	m	
Vincenzo Capponi	m	Florence
Vincenzo di Grazia	m	
Vincenzo Galilei, Jr.	m	Padua
Vincenzo Galilei, Sr.	m	Santa Maria a Monte
Vincenzo Giugni	m	Florence
Vincenzo Gonzaga	m	
Vincenzo Langieri	m	
Vincenzo Maculano	m	Fiorenzuola
Vincenzo Maria Pellegrini	m	
Vincenzo Mirabella	m	Syracuse
Vincenzo Noghera	m	Lisbon
Vincenzo Renieri	m	Genoa
Vincenzo Viviani	m	Florence
Virginia Landucci	f	
Virginio Cesarini	m	Rome
Virginio Orsini	m	
Vittoria della Rovere	f	
Wilhelm Schickhardt	m	Herenberg
Władysław IV Vasa	m	
Zaccaria Sagredo	m	Venice
